Address 1,Address 2,Address 3,Country,Full Address,Asset Description,"Additional Asset
Description","Number of
Completed Units",Receiver's Firm,Receiver's Firm Web Address
Dolmen Hotel,"Kilkenny Road, Carlow",Carlow,Ireland,"Dolmen Hotel, Kilkenny Road, Carlow, Carlow, Ireland",Hotel,,Single,KPMG,www.kpmg.ie
Holborn Hill,Belturbet,Cavan,Ireland,"Holborn Hill, Belturbet, Cavan, Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Unit at Creeney,Belturbet,Cavan,Ireland,"Unit at Creeney, Belturbet, Cavan, Ireland",Industrial,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Whelan's Quarry,Daragh,Clare,Ireland,"Whelan's Quarry, Daragh, Clare, Ireland",Other,Quarry,Single,Grant Thornton,www.grantthornton.ie
Teergoneen,Doolin,Clare,Ireland,"Teergoneen, Doolin, Clare, Ireland",Agricultural Land,,,PricewaterhouseCoopers,www.pwc.com/ie
"Westpoint Business
Park, Kilrush Road",Ennis,Clare,Ireland,"Westpoint Business
Park, Kilrush Road, Ennis, Clare, Ireland",Retail,,Multiple,BDO,www.bdo.ie
"Ballyaghboy, Doora",Ennis,Clare,Ireland,"Ballyaghboy, Doora, Ennis, Clare, Ireland",Agricultural Land,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Ballyaghboy, Doora",Ennis,Clare,Ireland,"Ballyaghboy, Doora, Ennis, Clare, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Whelan's Quarry
Fountain Cross",Ennis,Clare,Ireland,"Whelan's Quarry
Fountain Cross, Ennis, Clare, Ireland",Other,Quarry,Single,Grant Thornton,www.grantthornton.ie
"Garran na Coille,
Shanaway Road",Ennis,Clare,Ireland,"Garran na Coille,
Shanaway Road, Ennis, Clare, Ireland",Residential,,Multiple,Deloitte & Touche,www.deloitte.ie
"Cluain Ros Leamhain,
Roslevan, Tulla Road",Ennis,Clare,Ireland,"Cluain Ros Leamhain,
Roslevan, Tulla Road, Ennis, Clare, Ireland",Residential,,Multiple,Deloitte & Touche,www.deloitte.ie
Lahinch Road,Ennis,Clare,Ireland,"Lahinch Road, Ennis, Clare, Ireland",Development - Not Commenced,,,Deloitte & Touche,www.deloitte.ie
"Balleycorey, Gort
Road",Ennis,Clare,Ireland,"Balleycorey, Gort
Road, Ennis, Clare, Ireland",Development - Not Commenced,,,Deloitte & Touche,www.deloitte.ie
"Hogan's Field, Gort
Road",Ennis,Clare,Ireland,"Hogan's Field, Gort
Road, Ennis, Clare, Ireland",Development - Not Commenced,,,Deloitte & Touche,www.deloitte.ie
Ballymoneen,Ennis,Clare,Ireland,"Ballymoneen, Ennis, Clare, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
"Inis
Chlair",Ennis,Clare,Ireland,"Inis
Chlair, Ennis, Clare, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Kilkee Service Station,Kilkee,Clare,Ireland,"Kilkee Service Station, Kilkee, Clare, Ireland",Mixed Use,,Multiple,Deloitte & Touche,www.deloitte.ie
Radharc na hEaglaise,Killaloe,Clare,Ireland,"Radharc na hEaglaise, Killaloe, Clare, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Whelan's Quarry,Kilrush,Clare,Ireland,"Whelan's Quarry, Kilrush, Clare, Ireland",Other,Quarry,Single,Grant Thornton,www.grantthornton.ie
Hiburren,Lisdoonvarna,Clare,Ireland,"Hiburren, Lisdoonvarna, Clare, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Boheraroan,Newmarket-on-Fergus,Clare,Ireland,"Boheraroan, Newmarket-on-Fergus, Clare, Ireland",Mixed Use,,Multiple,Deloitte & Touche,www.deloitte.ie
"Bru
na Sionna",Shannon,Clare,Ireland,"Bru
na Sionna, Shannon, Clare, Ireland",Mixed Use,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
"Certain Units -
Bruachlan",Westbury,Clare,Ireland,"Certain Units -
Bruachlan, Westbury, Clare, Ireland",Development - Commenced,,,Grant Thornton,www.grantthornton.ie
"Certain Units -
Bruchlan",Westbury,Clare,Ireland,"Certain Units -
Bruchlan, Westbury, Clare, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Furnace,Whitegate,Clare,Ireland,"Furnace, Whitegate, Clare, Ireland",Development - Not Commenced,,,KPMG,www.kpmg.ie
Ballybunnion,,Clare,Ireland,"Ballybunnion, Clare, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Bellharbour,,Clare,Ireland,"Bellharbour, Clare, Ireland",Agricultural Land,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Sixmilebridge,,Clare,Ireland,"Sixmilebridge, Clare, Ireland",Development - Not Commenced,,,PwC,www.pwc.com/ie
Shannon,,Clare,Ireland,"Shannon, Clare, Ireland",Mixed Use,,Multiple,Grant Thornton,www.grantthornton.ie
Doolin,,Clare,Ireland,"Doolin, Clare, Ireland",Development - Not Commenced,,,PricewaterhouseCoopers,www.pwc.com/ie
Liscannor,,Clare,Ireland,"Liscannor, Clare, Ireland",Development - Not Commenced,,,PricewaterhouseCoopers,www.pwc.com/ie
