,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
214,,"Charlemont
Exchange",Charlemont Street,Dublin 2,Ireland,"Charlemont
Exchange, Charlemont Street, Dublin 2, Ireland",Office,,RSM Farrell Grant Sparks,"Charlemont
Exchange Charlemont Street Dublin 2 Ireland Charlemont
Exchange, Charlemont Street, Dublin 2, Ireland Office nan RSM Farrell Grant Sparks","charlemont exchange charlemont street dublin_2 ireland charlemont exchange, charlemont street, dublin_2, ireland office rsm farrell grant sparks","['charlemont', 'exchange', 'charlemont', 'street', 'dublin_2', 'ireland', 'charlemont', 'exchange', ',', 'charlemont', 'street', ',', 'dublin_2', ',', 'ireland', 'office', 'rsm', 'farrell', 'grant', 'sparks']",charlemont exchange charlemont street dublin_2 ireland charlemont exchange charlemont street dublin_2 ireland office rsm farrell grant sparks,9
215,,Chatham House,Chatham Street,Dublin 2,Ireland,"Chatham House, Chatham Street, Dublin 2, Ireland",Mixed Use,,RSM Farrell Grant Sparks,"Chatham House Chatham Street Dublin 2 Ireland Chatham House, Chatham Street, Dublin 2, Ireland Mixed Use nan RSM Farrell Grant Sparks","chatham house chatham street dublin_2 ireland chatham house, chatham street, dublin_2, ireland mixed use rsm farrell grant sparks","['chatham', 'house', 'chatham', 'street', 'dublin_2', 'ireland', 'chatham', 'house', ',', 'chatham', 'street', ',', 'dublin_2', ',', 'ireland', 'mixed', 'use', 'rsm', 'farrell', 'grant', 'sparks']",chatham house chatham street dublin_2 ireland chatham house chatham street dublin_2 ireland mixed use rsm farrell grant sparks,9
216,,"Certain Assets of
Chatham Court",Chatham Street,Dublin 2,Ireland,"Certain Assets of
Chatham Court, Chatham Street, Dublin 2, Ireland",Mixed Use,,RSM Farrell Grant Sparks,"Certain Assets of
Chatham Court Chatham Street Dublin 2 Ireland Certain Assets of
Chatham Court, Chatham Street, Dublin 2, Ireland Mixed Use nan RSM Farrell Grant Sparks","certain assets of chatham court chatham street dublin_2 ireland certain assets of chatham court, chatham street, dublin_2, ireland mixed use rsm farrell grant sparks","['certain', 'assets', 'of', 'chatham', 'court', 'chatham', 'street', 'dublin_2', 'ireland', 'certain', 'assets', 'of', 'chatham', 'court', ',', 'chatham', 'street', ',', 'dublin_2', ',', 'ireland', 'mixed', 'use', 'rsm', 'farrell', 'grant', 'sparks']",certain assets of chatham court chatham street dublin_2 ireland certain assets of chatham court chatham street dublin_2 ireland mixed use rsm farrell grant sparks,9
217,,"Certain Assets of
Westbury Mall",Off Grafton Street,Dublin 2,Ireland,"Certain Assets of
Westbury Mall, Off Grafton Street, Dublin 2, Ireland",Retail,,RSM Farrell Grant Sparks,"Certain Assets of
Westbury Mall Off Grafton Street Dublin 2 Ireland Certain Assets of
Westbury Mall, Off Grafton Street, Dublin 2, Ireland Retail nan RSM Farrell Grant Sparks","certain assets of westbury mall off grafton street dublin_2 ireland certain assets of westbury mall, off grafton street, dublin_2, ireland retail rsm farrell grant sparks","['certain', 'assets', 'of', 'westbury', 'mall', 'off', 'grafton', 'street', 'dublin_2', 'ireland', 'certain', 'assets', 'of', 'westbury', 'mall', ',', 'off', 'grafton', 'street', ',', 'dublin_2', ',', 'ireland', 'retail', 'rsm', 'farrell', 'grant', 'sparks']",certain assets of westbury mall off grafton street dublin_2 ireland certain assets of westbury mall off grafton street dublin_2 ireland retail rsm farrell grant sparks,9
218,,Castlemarket,South William Street,Dublin 2,Ireland,"Castlemarket, South William Street, Dublin 2, Ireland",Retail,,RSM Farrell Grant Sparks,"Castlemarket South William Street Dublin 2 Ireland Castlemarket, South William Street, Dublin 2, Ireland Retail nan RSM Farrell Grant Sparks","castlemarket south william street dublin_2 ireland castlemarket, south william street, dublin_2, ireland retail rsm farrell grant sparks","['castlemarket', 'south', 'william', 'street', 'dublin_2', 'ireland', 'castlemarket', ',', 'south', 'william', 'street', ',', 'dublin_2', ',', 'ireland', 'retail', 'rsm', 'farrell', 'grant', 'sparks']",castlemarket south william street dublin_2 ireland castlemarket south william street dublin_2 ireland retail rsm farrell grant sparks,9
219,,Ormond Quay,,Dublin 2,Ireland,"Ormond Quay, Dublin 2, Ireland",Hotel,,Ferris & Associates,"Ormond Quay nan Dublin 2 Ireland Ormond Quay, Dublin 2, Ireland Hotel nan Ferris & Associates","ormond quay dublin_2 ireland ormond quay, dublin_2, ireland hotel ferris & associates","['ormond', 'quay', 'dublin_2', 'ireland', 'ormond', 'quay', ',', 'dublin_2', ',', 'ireland', 'hotel', 'ferris', '&', 'associates']",ormond quay dublin_2 ireland ormond quay dublin_2 ireland hotel ferris associates,9
220,,Parliament Street,,Dublin 2,Ireland,"Parliament Street, Dublin 2, Ireland",Mixed Use,,Ferris & Associates,"Parliament Street nan Dublin 2 Ireland Parliament Street, Dublin 2, Ireland Mixed Use nan Ferris & Associates","parliament street dublin_2 ireland parliament street, dublin_2, ireland mixed use ferris & associates","['parliament', 'street', 'dublin_2', 'ireland', 'parliament', 'street', ',', 'dublin_2', ',', 'ireland', 'mixed', 'use', 'ferris', '&', 'associates']",parliament street dublin_2 ireland parliament street dublin_2 ireland mixed use ferris associates,9
222,,Great Strand Street,,Dublin 2,Ireland,"Great Strand Street, Dublin 2, Ireland",Other,Warehouse,Ferris & Associates,"Great Strand Street nan Dublin 2 Ireland Great Strand Street, Dublin 2, Ireland Other Warehouse Ferris & Associates","great strand street dublin_2 ireland great strand street, dublin_2, ireland other warehouse ferris & associates","['great', 'strand', 'street', 'dublin_2', 'ireland', 'great', 'strand', 'street', ',', 'dublin_2', ',', 'ireland', 'other', 'warehouse', 'ferris', '&', 'associates']",great strand street dublin_2 ireland great strand street dublin_2 ireland other warehouse ferris associates,9
223,,Grafton Street,,Dublin 2,Ireland,"Grafton Street, Dublin 2, Ireland",Retail,,RSM Farrell Grant Sparks,"Grafton Street nan Dublin 2 Ireland Grafton Street, Dublin 2, Ireland Retail nan RSM Farrell Grant Sparks","grafton street dublin_2 ireland grafton street, dublin_2, ireland retail rsm farrell grant sparks","['grafton', 'street', 'dublin_2', 'ireland', 'grafton', 'street', ',', 'dublin_2', ',', 'ireland', 'retail', 'rsm', 'farrell', 'grant', 'sparks']",grafton street dublin_2 ireland grafton street dublin_2 ireland retail rsm farrell grant sparks,9
224,,South William Street,,Dublin 2,Ireland,"South William Street, Dublin 2, Ireland",Retail,,RSM Farrell Grant Sparks,"South William Street nan Dublin 2 Ireland South William Street, Dublin 2, Ireland Retail nan RSM Farrell Grant Sparks","south william street dublin_2 ireland south william street, dublin_2, ireland retail rsm farrell grant sparks","['south', 'william', 'street', 'dublin_2', 'ireland', 'south', 'william', 'street', ',', 'dublin_2', ',', 'ireland', 'retail', 'rsm', 'farrell', 'grant', 'sparks']",south william street dublin_2 ireland south william street dublin_2 ireland retail rsm farrell grant sparks,9
